id,name,ratingCount,ratingValue,bestRating,worstRating,installNumber,size,price,appType,developer,category,version
149,Roman Khane,5548,4.5,5,1,200000,9316845,0,,persianleader,books-reference,14
150,BestNovels,3208,4.5,5,1,100000,25004475,0,,kohanweb,books-reference,1.4.0
151,sms roobak,137650,4.7,5,1,100000,18727706,0,,roobak_group_1,books-reference,1.1
152,همه چیز درباره آدولف هیتلر,0,5,5,1,100,5121581,0,Offers IAP purchases,Ali Bake Mirzaei,books-reference,v4.2
153,فال روزانه,0,0,0,0,100,3612427,0,,farzanehdev,books-reference,1
154,ghanoonn,0,0,0,0,100,11478603,0,Offers IAP purchases,mahtab,books-reference,2
155,kurdestan,0,5,5,1,100,2907923,0,,mkail hamedan,books-reference,v_1
156,Techniques Applied in M-Accounting,0,0,0,0,100,6600429,20000,,Dr.Hossein Ali Aminikhah,books-reference,5
157,قدرت ذهن,0,0,0,0,100,1927640,10000,,grooh-barname_iran-1971,books-reference,1.0.0.1
158,Spiritual treasure,0,0,0,0,100,2842491,30000,,abolghasem,books-reference,1
159,نامه های اداری رسمی,0,0,0,0,100,5530578,10000,,python,books-reference,1.2
160,Mediana Book,0,0,0,0,100,33274831,0,Offers IAP purchases,mediana,books-reference,1.5baazar
161,Vibrant Hafez,0,0,0,0,100,2515214,10000,,Rick,books-reference,1
162,The right study,2,5,5,1,100,1553493,0,,oghab,books-reference,v6.0
163,رمان شیطان پنهان,0,5,5,1,100,3115281,30000,,radman,books-reference,1
164,hafez,0,0,0,0,100,1627992,30000,,ebishk,books-reference,1
165,مرجع نامه های رسمی,0,0,0,0,100,1432850,0,,aban,books-reference,1
166,ملک الشعرای بهار (چهار پاره),0,0,0,0,100,421831,10000,,memora,books-reference,1
167,Alakhrh homes,0,0,0,0,100,3671315,10000,,abolghasem,books-reference,1
168,داستان ماندگار شازده کوچولو,0,0,0,0,100,6246109,0,Offers IAP purchases,faraketab,books-reference,2
169,pink lovly Novel,0,0,0,0,100,6134312,0,,gholamrezaDRH,books-reference,1.1
170,Teaching speeches and conferences,0,0,0,0,100,1795412,20000,,AppFile,books-reference,سخنران حرفه ای شو
171,نمونه سوالات پیام نور,30,4.4,5,1,100,1927278,0,Offers IAP purchases,Mohammad Gholizadeh,books-reference,1
172,فال پیامبران الهی,0,0,0,0,100,2566289,0,,parinaz heydar,books-reference,1
173,قلعه حیوانات,0,0,0,0,100,2500292,0,Offers IAP purchases,faraketab,books-reference,2
174,residanbeshoghledelkhah,0,0,0,0,100,89609045,50000,,Shaden Pejvak,books-reference,1
175,GTD,0,0,0,0,100,87983002,50000,,Shaden Pejvak,books-reference,1
176,WPS Office,5508,4.5,5,1,1000000,31458225,0,,Kingsoft Office Software Corporation Limited,business,10.0.1
177,File Commander,15488,4.4,5,1,1000000,29866900,0,,mobisystems123,business,3.8.14456
178,OfficeSuite,18173,4.3,5,1,1000000,63703694,0,,mobisystems123,business,8.7.5445
179,Vault,13886,4.5,5,1,500000,8361936,0,,NQ Mobile Security (NYSE:NQ),business,6.5.03.22
180,PDF Reader,701,4.5,5,1,200000,25412343,0,,kdan-mobile-software-ltd,business,3.4.14
181,Box,1683,4.2,5,1,200000,30324831,0,,Box,business,4.2.584
182,Docs To Go,739,4.2,5,1,200000,8193515,0,,"DataViz, Inc.",business,4.002
183,Polaris Office,2286,4.5,5,1,100000,53117374,0,,polaris-office-corp,business,7.3.2
184,Easy Installer,727,4.5,5,1,100000,3762758,0,,INFOLIFE LLC,business,3.1.8
185,Call Blocker,2054,4.3,5,1,100000,1755512,0,,NQ Mobile Security (NYSE:NQ),business,5.2.30.00
186,App Lock,2432,4.5,5,1,50000,1529360,0,,lovekara,business,1.4.22
187,FX,1497,4.6,5,1,20000,9280978,0,,"NextApp, Inc.",business,5.1.0.27
188,ES Task Manager,1123,4.5,5,1,50000,1285515,0,,ES GLOBAL,business,2.0.6
189,FAX.IR (Internet Faxing Service),1679,4.4,5,1,50000,17099115,0,,Atrisa Communications Development,business,4.0.0
190,Quick PDF Scanner,948,4.5,5,1,20000,14383634,0,,mobisystems,business,4.4.562
191,callX,107,4.6,5,1,20000,10715381,0,,SMSROBOT LTD,business,3
192,az koja shoro konam?,0,0,0,0,100,7363352,10000,,sina1992,business,1
193,اصول کسب درامد مدرن (نسخه جدید),0,0,0,0,100,15228217,70000,,top dev,business,5
194,کسب و کار موفق,1,5,5,1,100,1515990,0,,darkoob-72,business,1
195,mozakere,0,0,0,0,100,101039236,50000,,Shaden Pejvak,business,1
196,Income Plus (Guaranteed),2,5,5,1,100,3539154,20000,,daneshnevis,business,1
197,تهرونک 18,1,5,5,1,100,6441710,0,,yekta system hooshmand,business,1.5.11
198,Adventurer Manager,0,0,0,0,100,2133721,0,,saminbazaar,business,1.0.1
199,Restaurant Management,0,0,0,0,100,5283872,20000,,aliserver,business,1.0.0.3
200,بورس,0,0,0,0,100,1030288,20000,,moshtaaq,business,1
201,کسب درآمد میلیونی,0,0,0,0,100,1392735,60000,,Ata Programmer,business,v2.0
202,تجارتی پرسود (پرورش زالو),0,0,0,0,100,1056024,20000,,Ata Programmer,business,v1.0
203,Maghazam,3,5,5,1,100,2929408,0,,Maghazam,business,0.9.8
204,electronic.lezata,0,0,0,0,100,9147904,40000,,Shhryarkhdadvst,business,v1.7
205,barnamenevis sho,0,0,0,0,100,5147045,20000,,mahdi3441,business,2.2.2
206,دانشنامه دام و طیور,26,4.5,5,1,100,10220000,0,Offers IAP purchases,RayanDeveloper,business,v_1
207,ir.idea.money,2,5,5,1,100,9138349,40000,,Arash zarei,business,version 1.2
208,Saffron profossor,0,0,0,0,100,7577472,10000,,aminabiri,business,v1.1.2
209,kasb va kar,0,0,0,0,100,2571142,20000,,aryan,business,v1.0
210,ایده های پول سازی,0,0,0,0,100,1899784,10000,,hasan babakr shini,business,v3.0
211,com.twoidea.money,2,5,5,1,100,13990758,40000,,Arash zarei,business,version 1.1
212,بازاریابی شبکه ای(=کسب درآمد),0,0,0,0,100,1823485,0,Offers IAP purchases,tameshk software group,business,v2.0
213,Takhfifan Business,1,5,5,1,100,8449127,0,,takhfifan,business,1.0.2
214,Make Money From Affiliate,1,5,5,1,100,3763899,0,Offers IAP purchases,rasoul_arabsheybani,business,1.1
215,راهنمای پرورش طیور,0,0,0,0,100,5516628,20000,,vafadindoost,business,V1.0.0
216,The adventure of TinTin - The CALCU,336,4.8,5,1,2000,20405852,20000,,ARLI Software Group,comics,3
217,The adventure of TinTin - Destinati,284,4.9,5,1,2000,18797543,20000,,ARLI Software Group,comics,2
218,The Advanture of TinTin - Cigars of,478,4.9,5,1,2000,20993566,20000,,ARLI Software Group,comics,1
219,Comic Dooni (Graphic Novels),4195,4.7,5,1,10000,6400112,0,Offers IAP purchases,hafsang,comics,2.1.1
220,The Adventures of Tintin - Red Rack,215,4.9,5,1,2000,19643474,20000,,ARLI Software Group,comics,1
221,The Advanture of TinTin - The Broke,261,4.9,5,1,2000,17170405,20000,,ARLI Software Group,comics,1
222,The Adventures of Tintin-The Seven,214,4.9,5,1,2000,18356651,20000,,ARLI Software Group,comics,1
223,The Advanture of TinTin - Tintin in,331,4.8,5,1,2000,18399133,20000,,ARLI Software Group,comics,2
224,The adventure of TinTin - Explorers,225,4.8,5,1,2000,24700938,20000,,ARLI Software Group,comics,2
225,The Adventures of Tintin-Prisoners,202,4.9,5,1,1000,19660097,20000,,ARLI Software Group,comics,1
226,The Adventures of Tintin: The Secre,245,4.8,5,1,1000,23831406,20000,,ARLI Software Group,comics,2
227,عشق یعنی...Love is,97,4.5,5,1,2000,4855810,20000,,Delta7Coders,comics,2.1
228,The Advanture of TinTin - The Blue,348,4.9,5,1,1000,17487083,20000,,ARLI Software Group,comics,1
